city,country,lat_deg,lat_min,NS,lon_deg,lon_min,EW
Adelaide,Australia,34,55,S,138,36,E
Berlin,Germany,52,30,N,13,25,E
Beijing,China,39,55,N,116,25,E
Barcelona,Spain,41,23,N,2,9,E
Belum,Brazil,1,28,S,48,29,W
Algiers,Algeria,36,50,N,3,0,E
Amsterdam,Netherlands,52,22,N,4,53,E
Salt Lake City,Utah,40,46,N,111,54,W
San Antonio,Texas,29,23,N,98,33,W
San Diego,California,32,42,N,117,10,W
San Francisco,California,37,47,N,122,26,W
San Jose,California,37,20,N,121,53,W
Ankara,Turkey,39,55,N,32,55,E
Auckland,New Zealand,36,52,S,174,45,E
Asuncion,Paraguay,25,15,S,57,4,W
Athens,Greece,37,58,N,23,43,E
Bangkok,Thailand,13,45,N,100,30,E
Belfast,Northern Ireland,54,37,N,5,56,W
Belgrade,Serbia,44,52,N,20,32,E
Birmingham,England,52,25,N,1,55,W
